
                                                  STATE OF ILLINOIS NATIONAL BANK                                         PAGE:  1
                                                SEMI-MONTHLY EMPLOYEE PAYROLL REPORT                                                

EMPLOYEE   EMPLOYEE                     HOURLY     HOURS            EMPLOYEE    EMPLOYEE FEDERAL    EMPLOYEE STATE          EMPLOYEE
ID         NAME                            PAY    WORKED           GROSS PAY         WITHHOLDING       WITHHOLDING           NET PAY
---------  -------------------------   -------   -------     ---------------    ----------------    --------------   ---------------

523-45245  JOAN TOWER                   $15.25     80.50           $1,722.75             $236.87            $55.98         $1,429.88

034-56322  WOLFGANG AMADEUS MOZART      $19.00     80.75           $1,547.69             $212.80            $50.29         $1,284.58

340-32233  RICHARD STRAUSS              $10.29     80.00           $1,045.97             $143.82            $33.99           $868.15

164-65120  AMY BEACH                    $22.00     77.00           $2,579.16             $354.63            $83.82         $2,140.70

765-60023  ETHEL SMYTH                  $23.75     28.25             $710.64              $97.71            $23.09           $589.83

238-70322  PETER ILYICH TCHAIKOVSKY     $22.95     80.50           $1,826.23             $251.10            $59.35         $1,515.77

049-66277  ANTON BRUCKNER               $23.20     78.67           $2,044.58             $281.12            $66.44         $1,697.00

023-45245  FLORENCE PRICE               $15.25     80.50           $1,802.75             $247.87            $58.58         $1,496.28

134-56322  CLAUDE DEBUSSY               $19.00     80.77           $1,546.85             $212.69            $50.27         $1,283.88

340-32233  JUDITH WEIR                  $10.29     80.00           $1,045.97             $143.82            $33.99           $868.15

164-65120  LUDWIG VAN BEETHOVEN         $22.00     80.00           $2,645.16             $363.70            $85.96         $2,195.48

065-60023  JOHANN SEBASTIAN BACH        $23.75     28.25             $707.64              $97.30            $22.99           $587.34

238-70322  AARON COPLAND                $22.95     80.50           $1,826.23             $251.10            $59.35         $1,515.77

949-66277  CHARLES IVES                 $20.20     78.67           $1,798.57             $247.30            $58.45         $1,492.81

023-45245  SHULAMIT RAN                 $15.25     80.50           $1,702.75             $234.12            $55.33         $1,413.28

134-56322  ARTHUR HONEGGER              $19.00     80.75           $1,547.69             $212.80            $50.29         $1,284.58

340-32233  NADIA BOULANGER              $10.29     80.00           $1,046.97             $143.95            $34.02           $868.98

                                                  STATE OF ILLINOIS NATIONAL BANK                                         PAGE:  2
                                                SEMI-MONTHLY EMPLOYEE PAYROLL REPORT                                                

